link,name,location,price,area,bhk,bathroom,area_type_x,id,property_name_address,bedrooms,bathrooms,balcony,additional_rooms,super_builtup_area,area_type_y,floor,property_age,facing,nearby_location,features,furnishing_details,image_links
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-serendipity-bandra-kurla-complex-western-mumbai-2517-sq-ft-spid-Q83942546,Serendipity,"3 BHK Flat in Bandra Kurla Complex, Mumbai",₹9.52 Cr,"2,517 sqft",3 BHK,(3 Baths),Super Built-up Area,254,"Super Built up area 2517
(233.84 sq.m.)
Built Up area: 2417 sq.ft. (224.55 sq.m.)
Carpet area: 1465 sq.ft. (136.1 sq.m.)  
sq.ft.",3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,2517,1465,10th   of 23 Floors,1 to 5 Year Old,East,"Bandra Junction, BKC Metro Station A1, Jio World Drive, Vasudev C Wadhwa School, Savitridevi Phule University","Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Water Storage, Separate entry for servant room, No open drainage around, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Internet/wi-fi connectivity, Shopping Centre, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center, Water softening plant",,"https://imagecdn.99acres.com/media1/31119/15/622395455M-1753261495183.jpg, https://imagecdn.99acres.com/media1/31384/18/627698471T-1754206590779.jpg"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ten-bkc-bandra-east-western-mumbai-2000-sq-ft-spid-A83816716,Ten BKC,"4 BHK Flat in Bandra East, Mumbai",₹11.4 Cr,"2,000 sqft",4 BHK,(4 Baths),Super Built-up Area,255,"Super Built up area 2000
(185.81 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1636 sq.ft. (151.99 sq.m.)  
sq.ft.",4 Bedrooms,4 Bathrooms,1 Balcony,"Servant Room,Others",2000,1636,14th   of 29 Floors,0 to 1 Year Old,West,"Bandra Railway Station, BKC Metro Station, Jio World Drive Mall, Western Express Highway, St. Joseph’s International School","Security / Fire Alarm, Power Back-up, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, Separate entry for servant room, Visitor Parking, Swimming Pool, Park, Security Personnel, Natural Light, Internet/wi-fi connectivity, Airy Rooms, Fitness Centre / GYM, Club house / Community Center",,"https://imagecdn.99acres.com/media1/31038/0/620760405M-1752838026081.jpg, https://imagecdn.99acres.com/media1/32506/16/650136249T-1758362775603.jpg, https://imagecdn.99acres.com/media1/32787/9/655749467T-1759481575263.jpg"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-81-aureate-bandra-west-western-mumbai-6000-sq-ft-spid-B85276360,"81 Aureate
4.0","4 BHK Flat in Bandra West, Mumbai",₹19 Cr,"6,000 sqft",4 BHK,(5 Baths),Super Built-up Area,256,"Super Built up area 6000
(557.42 sq.m.)
Built Up area: 5800 sq.ft. (538.84 sq.m.)
Carpet area: 4212 sq.ft. (391.31 sq.m.)  
sq.ft.",4 Bedrooms,5 Bathrooms,3+ Balconies,Others,6000,4212,15th   of 26 Floors,1 to 5 Year Old,West,"Bandra Railway Station, Major Mumbai Shopping Places, Bandra -Kurla Complex, Carter Road & Bandstands, Bandra Worli Sea Link","Lift(s), Swimming Pool, Fitness Centre / GYM","1 AC, No Bed, No Chimney, No Curtains, No Dining Table, No Exhaust Fan, No Fan, No Geyser, No Modular Kitchen, No Light, No Microwave, No Fridge, No Sofa, No Stove, No TV, No Wardrobe, No Washing Machine, No Water Purifier, 1 AC, No Bed, No Chimney, No Curtains, No Dining Table, No Exhaust Fan, No Fan, No Geyser, No Modular Kitchen, No Light, No Microwave, No Fridge, No Sofa, No Stove, No TV, No Wardrobe, No Washing Machine, No Water Purifier",https://imagecdn.99acres.com/media1/32423/10/648470743M-1758107968729.jpg
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-magnus-bandra-east-western-mumbai-1121-sq-ft-spid-W83487822,Kalpataru Magnus,"3 BHK Flat in Bandra East, Mumbai",₹7.78 Cr,"1,121 sqft",3 BHK,(3 Baths),Carpet Area,257,,,,,,,,,,,,,,
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-rustomjee-seasons-bandra-east-western-mumbai-1723-sq-ft-spid-E84366884,"Rustomjee Seasons
4.1","4 BHK Flat in Bandra East, Mumbai",₹12.75 Cr,"1,723 sqft",4 BHK,(4 Baths),Carpet Area,258,"Carpet area: 1723
(160.07 sq.m.)  
sq.ft.",4 Bedrooms,4 Bathrooms,1 Balcony,Store Room,,1723,17th   of 23 Floors,10+ Year Old,East,"Bandra Junction, BKC Metro Station, Link Square Mall, Western Express Highway, Kalina University, Dhirubhai Ambani International","Security / Fire Alarm, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Water Storage, Piped-gas, Swimming Pool, Park, Internet/wi-fi connectivity, Fitness Centre / GYM, Rain Water Harvesting, Club house / Community Center","5 Fan, 1 Fridge, 1 Exhaust Fan, 1 Dining Table, 2 Geyser, 1 Stove, 5 Light, 1 Modular Kitchen, 1 Curtains, 2 AC, 1 Chimney, 3 Wardrobe, 1 Sofa, 1 Washing Machine, 1 Microwave, No Bed, No TV, No Water Purifier, 5 Fan, 1 Fridge, 1 Exhaust Fan, 1 Dining Table, 2 Geyser, 1 Stove, 5 Light, 1 Modular Kitchen, 1 Curtains, 2 AC, 1 Chimney, 3 Wardrobe, 1 Sofa, 1 Washing Machine, 1 Microwave, No Bed, No TV, No Water Purifier","https://imagecdn.99acres.com/media1/31590/3/631803157M-1754982036257.jpg, https://imagecdn.99acres.com/media1/32506/14/650134461T-1758362618595.jpg"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-serendipity-bandra-kurla-complex-western-mumbai-3094-sq-ft-spid-L83943078,Serendipity,"4 BHK Flat in Bandra Kurla Complex, Mumbai",₹11.79 Cr,"3,094 sqft",4 BHK,(4 Baths),Super Built-up Area,259,"Super Built up area 3094
(287.44 sq.m.)
Built Up area: 2994 sq.ft. (278.15 sq.m.)
Carpet area: 1815 sq.ft. (168.62 sq.m.)  
sq.ft.",4 Bedrooms,4 Bathrooms,1 Balcony,Pooja Room,3094,1815,21st   of 23 Floors,1 to 5 Year Old,East,"Bandra Junction, BKC Metro Station A1, Jio World Drive, Vasudev C Wadhwa School, Savitridevi Phule University","Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Water Storage, Separate entry for servant room, No open drainage around, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Internet/wi-fi connectivity, Shopping Centre, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center, Water softening plant",,https://imagecdn.99acres.com/media1/31120/4/622404535M-1753262327749.jpg
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-serendipity-bandra-kurla-complex-western-mumbai-2517-sq-ft-spid-N83942912,Serendipity,"3 BHK Flat in Bandra Kurla Complex, Mumbai",₹9.52 Cr,"2,517 sqft",3 BHK,(3 Baths),Super Built-up Area,260,"Super Built up area 2517
(233.84 sq.m.)
Built Up area: 2417 sq.ft. (224.55 sq.m.)
Carpet area: 1465 sq.ft. (136.1 sq.m.)  
sq.ft.",3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,2517,1465,10th   of 23 Floors,1 to 5 Year Old,East,"Bandra Junction, BKC Metro Station A1, Jio World Drive, Vasudev C Wadhwa School, Savitridevi Phule University","Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Water Storage, Separate entry for servant room, No open drainage around, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Internet/wi-fi connectivity, Shopping Centre, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center, Water softening plant",,"https://imagecdn.99acres.com/media1/31120/1/622401513M-1753262064756.jpg, https://imagecdn.99acres.com/media1/31384/18/627698471T-1754206590779.jpg"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ten-bkc-bandra-east-western-mumbai-1200-sq-ft-spid-P85132568,Ten BKC,"3 BHK Flat in Bandra East, Mumbai",₹7.8 Cr,"1,200 sqft",3 BHK,(3 Baths),Carpet Area,261,"Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",3 Bedrooms,3 Bathrooms,1 Balcony,,,1200,19th   of 22 Floors,0 to 1 Year Old,North-East,"Bandra Railway Station, BKC Metro Station, Jio World Drive Mall, Western Express Highway, St. Joseph’s International School","Power Back-up, Intercom Facility, Lift(s), Swimming Pool, Park, Fitness Centre / GYM, Club house / Community Center",,"https://imagecdn.99acres.com/media1/30612/6/612246967O-1751006513903.jpg, https://imagecdn.99acres.com/media1/32311/5/646225257M-1757672908124.jpg, https://imagecdn.99acres.com/media1/32458/8/649168753T-1758198107192.jpg, https://imagecdn.99acres.com/media1/32878/10/657570945T-1759837193012.jpg, https://imagecdn.99acres.com/media1/32044/19/640899147T-1756620862683.jpg"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-serendipity-bandra-kurla-complex-western-mumbai-1515-sq-ft-spid-M84594620,Serendipity,"3 BHK Flat in Bandra Kurla Complex, Mumbai",₹9.5 Cr,"1,515 sqft",3 BHK,(4 Baths),Carpet Area,262,"Carpet area: 1515
(140.75 sq.m.)  
sq.ft.",3 Bedrooms,4 Bathrooms,1 Balcony,,,1515,17th   of 21 Floors,0 to 1 Year Old,East,"Bandra Junction, BKC Metro Station A1, Jio World Drive, Vasudev C Wadhwa School, Savitridevi Phule University","Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), Maintenance Staff, Water Storage, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Fitness Centre / GYM, Rain Water Harvesting, Club house / Community Center",,https://imagecdn.99acres.com/media1/31796/18/635938549M-1755679767601.jpg
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nine-dimensions-ramaakrishna-kherwadi-western-mumbai-667-sq-ft-spid-I85534168,Nine Dimensions Ramaakrishna,"2 BHK Flat in Kherwadi, Bandra",₹2.95 Cr,667 sqft,2 BHK,(2 Baths),Carpet Area,263,"Carpet area: 667
(61.97 sq.m.)  
sq.ft.",2 Bedrooms,2 Bathrooms,No Balcony,Pooja Room,,667,12nd   of 14 Floors,0 to 1 Year Old,South,"Ram Mandir, Sai Baba Temple, Shiv Mandir, Bhomiya Temple, St. Joseph the Worker Church, Navpada Jama Masjid","Power Back-up, Swimming Pool, Maintenance Staff, Park, Fitness Centre / GYM, Waste Disposal",,https://imagecdn.99acres.com/media1/32771/8/655428197M-1759408172567.jpg
